CLASS,VALUE
F         ,44642.04
F         ,44642.04
M           ,44642.04
M           ,46873.08
F         ,46894.08
M           ,52890
F         ,44642.04
F         ,36816
F         ,39411.24
M           ,45750.12
F         ,36238.08
F         ,36238.08
M           ,44642.04
F         ,22275.24
M           ,44642.04
F         ,41949.72
M           ,46873.08
M           ,44642.04
F         ,66745.08
F         ,39411.24
F         ,23748.36
F         ,36238.08
F         ,44642.04
M           ,49218
F         ,44642.04
M           ,46873.08
F         ,44642.04
M           ,46873.08
M           ,43553.4
F         ,39311.64
F         ,44642.04
M           ,44642.04
F         ,29942.64
F         ,39411.24
F         ,41949.72
F         ,39411.24
M           ,23748.36
M           ,39411.24
F         ,22275.24
M           ,39411.24
M           ,44642.04
F         ,41704.2
F         ,41525.04
F         ,36238.08
M           ,45253.08
F         ,43553.4
F         ,44642.04
F         ,23748.36
F         ,31104.6
F         ,41769.24
M           ,36238.08
M           ,43553.4
M           ,46873.08
M           ,45461.04
F         ,36238.08
F         ,44642.04
F         ,19225.08
F         ,44642.04
F         ,41701.56
F         ,22275.24
M           ,43553.4
F         ,41704.2
F         ,39411.24
F         ,46873.08
F         ,44331.6
F         ,41769.24
F         ,46873.08
F         ,36238.08
M           ,36238.08
M           ,44642.04
F         ,41949.72
M           ,39411.24
M           ,39411.24
F         ,39411.24
M           ,44642.04
F         ,39411.24
F         ,43553.4
M           ,36238.08
M           ,39411.24
M           ,36238.08
M           ,46873.08
F         ,36238.08
M           ,38203.92
F         ,44642.04
F         ,44642.04
M           ,41769.24
F         ,24375.48
F         ,31104.6
F         ,39411.24
M           ,19225.08
M           ,66745.08
F         ,29942.64
F         ,44642.04
F         ,23748.36
M           ,44642.04
M           ,46873.08
M           ,36238.08
F         ,39411.24
F         ,36238.08
F         ,34722
F         ,34722
F         ,19225.08
M           ,41704.2
F         ,44642.04
F         ,89073.96
M           ,37044
F         ,44642.04
F         ,39411.24
F         ,29012.76
F         ,44642.04
F         ,31104.6
F         ,31104.6
F         ,43553.4
F         ,36238.08
F         ,45799.92
F         ,39411.24
M           ,39411.24
M           ,35196.96
F         ,39411.24
F         ,44642.04
F         ,41769.24
F         ,41769.24
M           ,46894.08
F         ,66745.08
F         ,44642.04
M           ,50805.72
M           ,41769.24
M           ,46873.08
F         ,36238.08
M           ,36238.08
M           ,36238.08
M           ,74019
M           ,44642.04
M           ,39411.24
M           ,44642.04
F         ,36238.08
F         ,46894.08
M           ,55414.08
M           ,19705.68
M           ,39411.24
F         ,44642.04
M           ,44642.04
M           ,43553.4
M           ,41769.24
F         ,39063.84
F         ,46873.08
F         ,23748.36
M           ,46592.52
F         ,39411.24
M           ,44642.04
F         ,45526.32
M           ,39411.24
F         ,44642.04
F         ,36238.08
F         ,44642.04
M           ,39411.24
F         ,51613.92
F         ,24375.48
F         ,28064.4
M           ,45253.08
F         ,34722
M           ,41769.24
F         ,51090.72
M           ,39411.24
F         ,41769.24
F         ,41769.24
F         ,39411.24
M           ,44642.04
M           ,39411.24
F         ,36238.08
F         ,41701.56
F         ,44642.04
F         ,36238.08
M           ,36238.08
F         ,44706.12
F         ,41769.24
M           ,44642.04
F         ,44642.04
F         ,50491.08
F         ,41949.72
M           ,39411.24
F         ,39411.24
F         ,35045.04
F         ,36238.08
M           ,39411.24
F         ,44642.04
M           ,39411.24
M           ,46873.08
M           ,39411.24
F         ,36238.08
M           ,39411.24
M           ,39411.24
M           ,38302.32
F         ,32834.76
F         ,36238.08
F         ,41701.56
M           ,51679.08
M           ,45070.44
M           ,48306.48
F         ,43553.4
F         ,44642.04
F         ,36238.08
F         ,37061.76
F         ,46873.08
F         ,29942.64
F         ,44642.04
F         ,39411.24
F         ,43553.4
F         ,36238.08
F         ,36238.08
M           ,19225.08
M           ,49218
F         ,44642.04
M           ,44642.04
F         ,39411.24
F         ,39411.24
F         ,44642.04
M           ,39411.24
M           ,41769.24
M           ,46873.08
F         ,43816.32
M           ,39411.24
M           ,44642.04
F         ,44642.04
M           ,44642.04
F         ,23748.36
M           ,59439.12
F         ,36238.08
F         ,46873.08
F         ,36238.08
F         ,39411.24
M           ,45070.44
M           ,36238.08
F         ,39411.24
M           ,36238.08
M           ,49218
M           ,49218
F         ,39411.24
F         ,38302.32
F         ,51679.08
F         ,29942.64
F         ,41769.24
M           ,44642.04
F         ,44642.04
M           ,52890
M           ,41769.24
F         ,34722
F         ,36238.08
M           ,41769.24
M           ,41769.24
F         ,31104.6
F         ,25995.6
M           ,19705.68
M           ,49218
F         ,40750.56
M           ,35045.04
F         ,37061.76
M           ,36238.08
M           ,39411.24
F         ,44642.04
F         ,44642.04
M           ,44642.04
M           ,39411.24
F         ,39411.24
M           ,36238.08
F         ,79971.36
M           ,36238.08
M           ,44642.04
F         ,41769.24
M           ,35929.32
F         ,44126.16
F         ,28064.4
M           ,44642.04
F         ,44642.04
F         ,35790.84
M           ,70320
M           ,49218
M           ,36238.08
M           ,36238.08
F         ,44642.04
F         ,41525.04
M           ,44642.04
F         ,39411.24
M           ,43553.4
F         ,19225.08
M           ,21732
M           ,44642.04
M           ,44642.04
M           ,41769.24
M           ,35045.04
F         ,44642.04
F         ,44642.04
F         ,39411.24
F         ,23748.36
M           ,44642.04
F         ,44642.04
F         ,44642.04
M           ,36238.08
F         ,44979.48
M           ,43553.4
M           ,39411.24
F         ,23748.36
F         ,46894.08
F         ,44642.04
M           ,44642.04
F         ,39411.24
F         ,44642.04
M           ,22275.24
F         ,44642.04
M           ,36238.08
F         ,41769.24
M           ,72464.76
M           ,61200
F         ,36238.08
F         ,41769.24
M           ,41769.24
M           ,44642.04
F         ,41701.56
F         ,27379.92
F         ,18119.04
M           ,44642.04
M           ,31501.2
M           ,35496
M           ,39411.24
M           ,39411.24
M           ,73113.72
F         ,19705.68
M           ,44642.04
F         ,46873.08
F         ,37061.76
F         ,36864.6
F         ,39411.24
M           ,44642.04
F         ,41704.2
F         ,19705.68
M           ,48586.32
F         ,44642.04
F         ,44642.04
M           ,44642.04
M           ,41769.24
M           ,41769.24
M           ,36238.08
M           ,39411.24
M           ,48012.48
F         ,41704.2
F         ,44642.04
F         ,36238.08
F         ,39411.24
M           ,40750.56
F         ,44642.04
F         ,36238.08
F         ,43553.4
F         ,49218
F         ,36238.08
M           ,44642.04
M           ,45070.44
M           ,36238.08
F         ,39411.24
M           ,36238.08
M           ,39411.24
F         ,46286.76
M           ,41769.24
M           ,36238.08
F         ,39063.84
F         ,42521.64
M           ,36238.08
M           ,91838.04
M           ,39411.24
F         ,19705.68
F         ,29520.96
M           ,44642.04
M           ,46873.08
F         ,53241.96
M           ,41769.24
M           ,39411.24
M           ,44642.04
M           ,41769.24
F         ,28536
F         ,25995.6
F         ,39411.24
M           ,38390.4
F         ,36238.08
F         ,39411.24
F         ,36238.08
F         ,49218
M           ,45070.44
M           ,49218
F         ,44642.04
M           ,41769.24
M           ,66745.08
F         ,18119.04
F         ,46873.08
M           ,46873.08
M           ,44642.04
F         ,35045.04
F         ,43553.4
M           ,48586.32
F         ,36238.08
F         ,36238.08
M           ,39411.24
F         ,36238.08
F         ,41949.72
M           ,41769.24
M           ,51168
M           ,44642.04
M           ,46894.08
M           ,43816.32
F         ,44642.04
F         ,39411.24
M           ,46873.08
F         ,35045.04
M           ,46873.08
F         ,41769.24
F         ,41769.24
M           ,39411.24
M           ,40458.12
F         ,44642.04
M           ,51090.72
M           ,36157.92
F         ,52890
F         ,37061.76
F         ,38067.24
M           ,39411.24
M           ,52976.4
F         ,46894.08
M           ,39350.04
M           ,44642.04
M           ,42521.64
M           ,28064.4
F         ,44642.04
M           ,40458.12
M           ,43553.4
F         ,38302.32
F         ,44642.04
F         ,44642.04
F         ,35045.04
M           ,46873.08
F         ,41769.24
F         ,39411.24
M           ,44642.04
F         ,39411.24
M           ,39508.56
M           ,44642.04
M           ,39411.24
M           ,44642.04
M           ,41928
M           ,51679.08
F         ,36238.08
F         ,51679.08
F         ,36238.08
F         ,35947.92
F         ,44642.04
M           ,36238.08
F         ,36238.08
M           ,36238.08
F         ,39411.24
F         ,35354.28
M           ,44642.04
F         ,25995.6
F         ,44642.04
M           ,39411.24
M           ,36238.08
M           ,44642.04
M           ,44642.04
F         ,44642.04
F         ,25995.6
F         ,42067.56
F         ,49513.92
M           ,38450.04
M           ,43553.4
M           ,44642.04
F         ,36238.08
F         ,41769.24
F         ,44642.04
F         ,44642.04
M           ,40596
F         ,39411.24
M           ,39411.24
M           ,44642.04
F         ,41769.24
F         ,44642.04
F         ,49218
F         ,43553.4
M           ,36238.08
F         ,36238.08
F         ,41769.24
M           ,39411.24
M           ,44642.04
M           ,51679.08
M           ,38203.92
F         ,31104.6
F         ,46286.76
M           ,41769.24
F         ,39411.24
M           ,43553.4
M           ,44642.04
F         ,23505.24
F         ,32200.92
F         ,36238.08
M           ,46873.08
F         ,41769.24
F         ,44706.12
M           ,44642.04
M           ,40750.56
M           ,41769.24
M           ,44642.04
F         ,46894.08
M           ,54943.08
M           ,39411.24
F         ,39411.24
F         ,44642.04
M           ,44642.04
F         ,44706.12
M           ,36238.08
F         ,22275.24
M           ,43553.4
F         ,49218
F         ,33195.72
F         ,28064.4
M           ,44642.04
M           ,41769.24
M           ,46873.08
F         ,38519.28
F         ,44642.04
M           ,36238.08
M           ,66745.08
F         ,29942.64
M           ,44642.04
F         ,41949.72
F         ,36238.08
F         ,29942.64
M           ,41769.24
F         ,39411.24
M           ,36238.08
M           ,39411.24
F         ,36238.08
M           ,43553.4
M           ,44642.04
F         ,39411.24
M           ,19225.08
F         ,44642.04
F         ,44706.12
F         ,19705.68
F         ,44642.04
M           ,44642.04
M           ,39411.24
F         ,39411.24
M           ,41769.24
F         ,36238.08
M           ,44642.04
F         ,36238.08
M           ,39411.24
F         ,23748.36
M           ,44642.04
F         ,34722
F         ,28980
M           ,36238.08
M           ,39411.24
F         ,41704.2
F         ,46873.08
F         ,22275.24
F         ,23748.36
M           ,43553.4
F         ,36238.08
F         ,41769.24
F         ,39411.24
M           ,39411.24
F         ,34722
M           ,19705.68
F         ,49218
M           ,44642.04
M           ,39411.24
F         ,41769.24
M           ,51679.08
F         ,44642.04
M           ,36238.08
F         ,46873.08
F         ,37061.76
F         ,37572
F         ,44331.6
M           ,46873.08
M           ,44642.04
M           ,36238.08
M           ,41769.24
F         ,49218
M           ,44642.04
M           ,39411.24
M           ,36076.92
F         ,51679.08
F         ,19705.68
F         ,18119.04
M           ,44642.04
F         ,22275.24
F         ,36238.08
M           ,44642.04
F         ,22275.24
M           ,55414.08
M           ,44642.04
M           ,41769.24
F         ,28064.4
M           ,49218
F         ,44642.04
M           ,44642.04
M           ,39411.24
F         ,39411.24
M           ,44642.04
M           ,41769.24
M           ,44642.04
M           ,39411.24
F         ,44979.48
M           ,46873.08
M           ,44642.04
M           ,43816.32
M           ,46873.08
M           ,44642.04
M           ,44642.04
M           ,44642.04
M           ,41769.24
M           ,41769.24
M           ,44642.04
M           ,42521.64
M           ,39411.24
F         ,36238.08
M           ,39411.24
F         ,41769.24
M           ,39411.24
F         ,41949.72
F         ,41769.24
F         ,29942.64
F         ,39411.24
F         ,39411.24
F         ,23748.36
F         ,18119.04
M           ,41769.24
M           ,42521.64
M           ,44642.04
M           ,55414.08
M           ,41769.24
M           ,44642.04
F         ,29942.64
F         ,45526.32
M           ,44642.04
M           ,44642.04
F         ,39411.24
M           ,44642.04
M           ,44642.04
F         ,43245.72
M           ,36238.08
F         ,41769.24
F         ,52890
F         ,46873.08
F         ,23748.36
M           ,46873.08
M           ,49218
M           ,36238.08
F         ,23748.36
F         ,36238.08
M           ,44642.04
M           ,45799.92
M           ,39411.24
F         ,44642.04
F         ,28064.4
F         ,46286.76
F         ,25995.6
M           ,46873.08
M           ,44642.04
M           ,44642.04
M           ,44642.04
M           ,19225.08
M           ,44642.04
M           ,36238.08
M           ,39411.24
M           ,39411.24
F         ,44642.04
M           ,46873.08
M           ,22275.24
F         ,44642.04
M           ,44642.04
F         ,44642.04
F         ,45253.08
F         ,23748.36
M           ,41769.24
M           ,36238.08
F         ,34722
F         ,39411.24
M           ,44642.04
M           ,36238.08
F         ,44642.04
F         ,40752
F         ,41769.24
M           ,41769.24
F         ,36238.08
M           ,36238.08
F         ,36238.08
F         ,44642.04
M           ,39411.24
M           ,39411.24
M           ,36238.08
M           ,41769.24
M           ,41769.24
M           ,23748.36
M           ,41769.24
M           ,44642.04
M           ,36238.08
M           ,36076.92
M           ,43553.4
M           ,43049.4
M           ,44642.04
M           ,39411.24
M           ,46873.08
M           ,46873.08
M           ,46873.08
M           ,36238.08
M           ,44642.04
F         ,44642.04
F         ,46873.08
M           ,46873.08
F         ,46873.08
F         ,39411.24
F         ,46873.08
F         ,44642.04
M           ,53270.76
M           ,49218
F         ,18119.04
M           ,44642.04
F         ,41769.24
F         ,44642.04
F         ,23748.36
F         ,38450.04
F         ,36238.08
F         ,39411.24
F         ,39411.24
M           ,39411.24
M           ,36238.08
M           ,44642.04
M           ,44642.04
F         ,44331.6
F         ,43032
M           ,44642.04
M           ,44642.04
M           ,43553.4
M           ,46873.08
F         ,44642.04
M           ,36238.08
M           ,39411.24
M           ,44642.04
M           ,36238.08
M           ,36238.08
F         ,23748.36
M           ,36238.08
F         ,51679.08
M           ,44642.04
M           ,85042.8
M           ,47589
M           ,39411.24
M           ,39411.24
F         ,39411.24
F         ,46873.08
F         ,39411.24
M           ,44642.04
M           ,36238.08
M           ,39411.24
M           ,46873.08
F         ,44642.04
M           ,19705.68
M           ,44642.04
F         ,31501.2
M           ,76386.48
M           ,48713.16
F         ,46286.76
M           ,48586.32
F         ,49218
F         ,36238.08
F         ,23748.36
M           ,39411.24
M           ,36238.08
F         ,36238.08
F         ,39411.24
F         ,45526.32
F         ,59735.04
M           ,44642.04
M           ,44642.04
M           ,19705.68
M           ,36238.08
F         ,52890
F         ,46286.76
M           ,41769.24
F         ,36238.08
M           ,43553.4
M           ,44642.04
M           ,41769.24
F         ,25995.6
F         ,31104.6
M           ,41769.24
M           ,44642.04
F         ,47111.28
M           ,44642.04
M           ,39411.24
F         ,41769.24
F         ,44642.04
M           ,40546.44
F         ,39411.24
F         ,23748.36
F         ,44706.12
M           ,41769.24
F         ,44642.04
M           ,41769.24
M           ,46873.08
M           ,43050
M           ,36238.08
M           ,36238.08
M           ,46347
M           ,44642.04
F         ,41769.24
M           ,44642.04
M           ,44642.04
F         ,34722
M           ,39411.24
M           ,36238.08
M           ,46873.08
M           ,39411.24
F         ,52890
F         ,39411.24
M           ,39411.24
F         ,44642.04
F         ,39411.24
M           ,41769.24
M           ,36238.08
F         ,49218
F         ,41704.2
F         ,39411.24
F         ,19225.08
F         ,31104.6
M           ,43816.32
M           ,41769.24
M           ,42521.64
F         ,44642.04
F         ,44642.04
M           ,41769.24
F         ,44642.04
M           ,36238.08
M           ,36238.08
M           ,36238.08
M           ,35045.04
F         ,44642.04
M           ,44642.04
M           ,69163.68
M           ,41769.24
F         ,44706.12
F         ,39411.24
F         ,44642.04
M           ,23781
F         ,44642.04
F         ,22275.24
F         ,36238.08
M           ,47111.28
F         ,41769.24
M           ,46873.08
M           ,41769.24
M           ,39411.24
F         ,44642.04
F         ,34722
M           ,44706.12
M           ,19225.08
F         ,49891.68
M           ,41769.24
F         ,44642.04
F         ,45253.08
M           ,36238.08
F         ,44642.04
M           ,49218
F         ,36238.08
F         ,49218
F         ,44642.04
F         ,43553.4
F         ,38302.32
M           ,44642.04
F         ,38302.32
F         ,23748.36
M           ,41484.48
F         ,44126.16
F         ,23781
F         ,43553.4
M           ,40458.12
F         ,43952.88
F         ,31922.52
M           ,44642.04
F         ,46873.08
F         ,36238.08
M           ,44642.04
M           ,36238.08
M           ,35045.04
F         ,51185.04
M           ,36238.08
M           ,44642.04
M           ,39411.24
F         ,41949.72
F         ,23748.36
M           ,39411.24
F         ,41769.24
F         ,44642.04
F         ,44642.04
F         ,44642.04
F         ,45626.52
F         ,41769.24
M           ,39411.24
F         ,39411.24
F         ,44642.04
M           ,44642.04
M           ,41769.24
F         ,36238.08
M           ,44642.04
M           ,41769.24
M           ,46873.08
F         ,44706.12
M           ,49218
F         ,35902.56
F         ,44642.04
M           ,44642.04
M           ,19705.68
M           ,41701.56
M           ,49218
M           ,23748.36
M           ,36238.08
M           ,39411.24
F         ,44642.04
F         ,43553.4
M           ,44642.04
F         ,52890
M           ,19225.08
F         ,37900.32
F         ,39411.24
F         ,36238.08
F         ,44979.48
F         ,52044.96
F         ,46873.08
F         ,46873.08
F         ,44642.04
M           ,39411.24
F         ,39411.24
F         ,44642.04
M           ,45253.08
F         ,61685.16
F         ,19705.68
F         ,34722
F         ,44642.04
M           ,51679.08
F         ,22353.12
F         ,44642.04
F         ,36238.08
M           ,41928
M           ,23748.36
M           ,44642.04
M           ,46614
M           ,44642.04
F         ,44642.04
M           ,23748.36
F         ,44642.04
F         ,36238.08
F         ,37061.76
M           ,41769.24
F         ,36238.08
M           ,42521.64
F         ,44979.48
F         ,37061.76
M           ,44979.48
M           ,45070.44
F         ,80613
F         ,38111.16
M           ,39411.24
M           ,44642.04
M           ,43553.4
M           ,80581.92
M           ,41772
F         ,35045.04
F         ,22275.24
M           ,46592.52
M           ,41769.24
M           ,55414.08
M           ,46873.08
M           ,44642.04
F         ,36238.08
F         ,46873.08
M           ,41949.72
F         ,40458.12
F         ,30345.96
F         ,44642.04
M           ,36238.08
M           ,44642.04
M           ,46873.08
F         ,35045.04
M           ,39411.24
M           ,45253.08
M           ,41769.24
F         ,36238.08
M           ,44979.48
M           ,36238.08
F         ,43553.4
F         ,35045.04
M           ,36238.08
M           ,44642.04
M           ,36238.08
M           ,19705.68
F         ,44642.04
M           ,44642.04
M           ,36238.08
F         ,22275.24
F         ,46873.08
M           ,41769.24
M           ,44642.04
F         ,24375.48
M           ,36238.08
M           ,165193.44
F         ,44642.04
M           ,41704.2
M           ,46873.08
M           ,44642.04
M           ,39411.24
M           ,46873.08
M           ,39411.24
M           ,51679.08
F         ,39411.24
M           ,39411.24
F         ,39411.24
M           ,44642.04
M           ,53898.72
F         ,44642.04
M           ,142379.04
M           ,120317.16
M           ,46873.08
M           ,62106.84
M           ,44642.04
M           ,44642.04
M           ,41949.72
F         ,18119.04
M           ,46894.08
F         ,29942.64
M           ,51498.72
M           ,49218
M           ,36238.08
F         ,41769.24
M           ,43553.4
F         ,39411.24
M           ,39411.24
F         ,44642.04
F         ,25995.6
M           ,39411.24
M           ,51679.08
F         ,46894.08
F         ,34722
F         ,41704.2
F         ,44642.04
M           ,39411.24
M           ,46873.08
F         ,39411.24
F         ,22275.24
F         ,41769.24
F         ,39411.24
F         ,49218
F         ,19705.68
F         ,41769.24
F         ,23748.36
F         ,41769.24
M           ,44642.04
M           ,73360.8
M           ,48017.64
M           ,44642.04
F         ,30414.24
M           ,38302.32
M           ,36238.08
M           ,36238.08
F         ,51036
F         ,22275.24
M           ,36238.08
M           ,46873.08
M           ,53270.76
F         ,39411.24
F         ,22275.24
F         ,37061.76
M           ,58836.72
F         ,45526.32
M           ,44642.04
M           ,39411.24
F         ,44642.04
F         ,44642.04
M           ,44642.04
M           ,19705.68
M           ,39411.24
M           ,36238.08
M           ,44642.04
M           ,36076.92
F         ,39411.24
M           ,36238.08
M           ,44642.04
F         ,51185.04
F         ,39411.24
M           ,47585.16
M           ,36238.08
F         ,41769.24
F         ,46873.08
F         ,43245.72
F         ,44979.48
M           ,44642.04
F         ,32162.16
M           ,36238.08
F         ,44642.04
F         ,39411.24
F         ,24375.48
M           ,44642.04
M           ,43553.4
M           ,44642.04
M           ,49218
F         ,39411.24
F         ,34722
M           ,36238.08
M           ,46873.08
F         ,37061.76
F         ,46873.08
M           ,39411.24
M           ,44642.04
F         ,41769.24
M           ,39411.24
F         ,52904.16
F         ,43553.4
F         ,39411.24
F         ,39411.24
F         ,23748.36
F         ,23748.36
F         ,43553.4
F         ,39411.24
M           ,38450.04
M           ,49218
F         ,41769.24
M           ,44642.04
F         ,46873.08
F         ,36238.08
F         ,28536
F         ,40458.12
F         ,23748.36
M           ,47589
F         ,49484.76
M           ,44642.04
M           ,52976.4
M           ,44642.04
F         ,36238.08
F         ,45626.52
M           ,44642.04
M           ,44642.04
F         ,22275.24
M           ,44642.04
M           ,44642.04
F         ,53270.76
M           ,44642.04
F         ,39411.24
F         ,35045.04
F         ,44642.04
M           ,36238.08
M           ,39411.24
F         ,41769.24
F         ,41769.24
F         ,36238.08
F         ,39411.24
M           ,43553.4
M           ,43553.4
F         ,35045.04
F         ,35790.84
F         ,34722
M           ,41769.24
F         ,52935.24
M           ,39411.24
M           ,43300.2
M           ,43300.2
F         ,41769.24
F         ,39411.24
M           ,42521.64
F         ,44642.04
F         ,19705.68
F         ,36238.08
F         ,25995.6
F         ,36238.08
F         ,46873.08
M           ,41769.24
M           ,44642.04
F         ,46873.08
F         ,41769.24
M           ,39411.24
M           ,35045.04
F         ,23748.36
F         ,46287.12
M           ,51679.08
F         ,36238.08
M           ,46873.08
F         ,39411.24
F         ,39411.24
M           ,44642.04
M           ,36238.08
F         ,41769.24
F         ,41769.24
F         ,23748.36
F         ,44642.04
M           ,39411.24
M           ,39411.24
M           ,41769.24
M           ,42707.52
F         ,44642.04
M           ,46873.08
F         ,39411.24
F         ,44642.04
M           ,79971.36
F         ,44642.04
F         ,36238.08
F         ,25995.6
M           ,44642.04
M           ,39411.24
F         ,37061.76
F         ,23748.36
F         ,39411.24
F         ,44642.04
F         ,43553.4
F         ,44642.04
M           ,41769.24
F         ,22275.24
F         ,49484.76
M           ,44979.48
M           ,36238.08
M           ,52644
M           ,46873.08
M           ,56563.56
M           ,39411.24
F         ,23748.36
F         ,23748.36
F         ,52890
M           ,41769.24
F         ,25064.4
F         ,44642.04
M           ,44642.04
M           ,36238.08
F         ,25995.6
M           ,44520
M           ,41769.24
M           ,44642.04
F         ,44642.04
F         ,49218
M           ,39411.24
F         ,36238.08
M           ,39411.24
M           ,41704.2
F         ,35045.04
M           ,46873.08
F         ,41769.24
F         ,44642.04
M           ,44642.04
M           ,39411.24
F         ,44642.04
M           ,44642.04
F         ,37900.32
M           ,36238.08
F         ,29942.64
M           ,46873.08
F         ,52890
F         ,46620.12
F         ,36238.08
F         ,43553.4
M           ,41769.24
M           ,46873.08
M           ,45070.44
F         ,41949.72
F         ,44706.12
F         ,47589
F         ,36238.08
M           ,43245.72
M           ,37368.12
M           ,44642.04
F         ,49218
F         ,39411.24
F         ,41769.24
F         ,38130.6
M           ,36238.08
M           ,55414.08
M           ,19705.68
F         ,43245.72
F         ,36238.08
F         ,39411.24
F         ,39411.24
M           ,44642.04
M           ,39411.24
F         ,44642.04
M           ,46873.08
M           ,51679.08
F         ,37061.76
F         ,46873.08
M           ,44642.04
F         ,24375.48
F         ,39411.24
F         ,36076.8
F         ,34722
M           ,36238.08
F         ,36238.08
F         ,41769.24
F         ,41769.24
F         ,49218
M           ,46894.08
F         ,44642.04
F         ,35354.28
F         ,36238.08
F         ,49218
F         ,39411.24
M           ,36238.08
M           ,36238.08
F         ,44642.04
M           ,39411.24
F         ,44642.04
M           ,39350.04
F         ,44642.04
M           ,43553.4
F         ,36238.08
F         ,38208.6
M           ,46873.08
F         ,56563.56
M           ,42521.64
M           ,44642.04
M           ,41704.2
F         ,37061.76
F         ,23748.36
M           ,39411.24
M           ,46894.08
M           ,39411.24
F         ,49484.76
F         ,44642.04
M           ,46873.08
F         ,34722
M           ,44642.04
M           ,51498.72
F         ,41704.2
F         ,102264.96
M           ,44642.04
F         ,44642.04
M           ,84390.96
F         ,41949.72
F         ,46873.08
F         ,41769.24
M           ,46873.08
M           ,49218
M           ,44706.12
M           ,41769.24
F         ,36238.08
M           ,38450.04
M           ,44642.04
M           ,44642.04
M           ,44642.04
M           ,36238.08
M           ,41769.24
F         ,84000
M           ,44642.04
M           ,36238.08
M           ,49218
M           ,44642.04
F         ,43250.4
F         ,36238.08
M           ,43553.4
M           ,36238.08
M           ,43553.4
M           ,44642.04
M           ,43553.4
F         ,77638.92
M           ,43816.32
F         ,31501.2
F         ,39411.24
M           ,46873.08
M           ,44322.96
M           ,36238.08
M           ,49218
F         ,18119.04
M           ,46873.08
F         ,35045.04
M           ,39411.24
F         ,44642.04
M           ,44642.04
F         ,44642.04
F         ,44642.04
M           ,39411.24
F         ,39411.24
M           ,44642.04
F         ,39411.24
F         ,44642.04
M           ,39411.24
M           ,39411.24
F         ,44642.04
M           ,47589
M           ,44642.04
F         ,31104.6
M           ,39411.24
M           ,44642.04
F         ,39063.84
F         ,36238.08
M           ,48017.64
F         ,36238.08
F         ,24375.48
M           ,39411.24
F         ,49218
M           ,44642.04
F         ,24375.48
M           ,51679.08
M           ,39411.24
M           ,39411.24
F         ,30345.96
M           ,36238.08
F         ,41769.24
F         ,44642.04
F         ,44706.12
F         ,24375.48
F         ,49218
M           ,44642.04
F         ,41769.24
M           ,36238.08
F         ,44642.04
F         ,41949.72
F         ,44642.04
F         ,46347
F         ,44642.04
M           ,49816.92
M           ,36238.08
M           ,36238.08
F         ,24375.48
M           ,36238.08
F         ,25995.6
F         ,39411.24
F         ,36238.08
M           ,39411.24
F         ,41949.72
F         ,41704.2
M           ,44642.04
F         ,36238.08
F         ,23748.36
F         ,39411.24
F         ,36238.08
F         ,38130.6
F         ,46894.08
F         ,40019.76
M           ,48586.32
F         ,44642.04
F         ,55414.08
F         ,44642.04
F         ,41769.24
M           ,51679.08
F         ,33800.4
F         ,39411.24
M           ,44642.04
F         ,46873.08
M           ,36238.08
M           ,49218
M           ,39411.24
M           ,41769.24
M           ,39411.24
M           ,38220
M           ,46873.08
F         ,36238.08
M           ,44642.04
F         ,41769.24
F         ,44642.04
F         ,50065.68
F         ,23748.36
F         ,43315.44
M           ,51679.08
F         ,44706.12
M           ,49218
M           ,41769.24
M           ,44642.04
M           ,43050
M           ,39411.24
F         ,39411.24
F         ,44642.04
M           ,43553.4
M           ,44642.04
M           ,66745.08
F         ,23748.36
M           ,44642.04
M           ,85776.96
M           ,44642.04
F         ,41769.24
M           ,44642.04
F         ,23748.36
M           ,46228.68
M           ,36238.08
M           ,36238.08
M           ,28064.4
F         ,36238.08
F         ,39411.24
M           ,44642.04
M           ,36238.08
M           ,49218
M           ,43553.4
M           ,44642.04
M           ,19225.08
F         ,41769.24
M           ,19705.68
M           ,39411.24
F         ,23748.36
M           ,44642.04
M           ,41769.24
F         ,35045.04
F         ,41701.56
F         ,29942.64
M           ,41769.24
M           ,46894.08
F         ,29942.64
F         ,37061.76
M           ,44642.04
F         ,39411.24
F         ,31104.6
F         ,43553.4
F         ,44126.16
M           ,44642.04
M           ,49218
F         ,23169.24
F         ,72464.76
M           ,39411.24
F         ,43553.4
M           ,46873.08
F         ,44642.04
F         ,44642.04
M           ,39411.24
F         ,55414.08
M           ,43882.44
F         ,72464.76
M           ,44642.04
M           ,44642.04
F         ,41769.24
F         ,39411.24
M           ,36238.08
M           ,46873.08
F         ,19225.08
F         ,39411.24
F         ,46286.76
M           ,42521.64
M           ,46894.08
M           ,98673.96
M           ,39411.24
F         ,44642.04
M           ,39411.24
M           ,44642.04
M           ,36238.08
F         ,37061.76
M           ,49484.76
F         ,44642.04
M           ,44642.04
M           ,46919.88
M           ,39411.24
M           ,39411.24
F         ,23748.36
M           ,44642.04
F         ,43553.4
F         ,44642.04
F         ,44642.04
F         ,39411.24
M           ,44642.04
M           ,31922.52
M           ,31104.6
M           ,39411.24
M           ,44642.04
M           ,47462.04
F         ,44979.48
F         ,44642.04
M           ,44642.04
M           ,44642.04
F         ,22275.24
M           ,36076.92
M           ,46873.08
M           ,42521.64
F         ,41769.24
M           ,39411.24
M           ,38328
F         ,43553.4
M           ,44642.04
F         ,35045.04
F         ,23748.36
